file,workload,predictor,ROB_config,IQ_config,sim_seconds,committed_insts,ipc,branch_predicted,branch_mispredicted,mispred_rate,branch_accuracy,branch_recovery_cycles_total,avg_recovery_penalty_cycles,squashedInstsIssued,squashedInstsExamined,squashedOperandsExamined,avg_squashed_insts_per_mispred,instsAdded,numIssuedDist_mean,L1D_accesses,L1D_misses,L1I_accesses,L1I_misses,requestToMemory_m_stall_time,requestToMemory_m_avg_stall_time,L1_mandatoryQueue_m_stall_time,L1_mandatoryQueue_m_avg_stall_time,mem_miss_latency_mean,fetch_generic,ifetch_miss_latency_mean,avg_stall_time_field,stall_time_generic,m_stall_count_any,squash_generic,IQ_full_count
results/stats_basicmath_bimode_ROB128_numIQEntries64.txt,basicmath,bimode,128,64,0.015627,54044264,1.151653,19466871,327727,0.01683511438484387,0.9831648856151561,,,9819,3031500,4882956,9.25007704583388,106207283,2.250579,2,3,100,1,,,,,15.726907,149203689.771799,14.474198,8995,6969105.347679,1,48650416,23481
results/stats_basicmath_bimode_ROB128_numIQEntries128.txt,basicmath,bimode,128,128,0.015627,54044264,1.151658,19466806,327727,0.01683517059758031,0.9831648294024197,,,10039,3041826,4910549,9.28158497774062,106217609,2.250617,2,3,100,1,,,,,15.783771,149201683.028176,14.480231,8994,6969447.347679,1,48671778,0
results/stats_basicmath_bimode_ROB256_numIQEntries64.txt,basicmath,bimode,256,64,0.015624,54044264,1.151831,19468215,327757,0.016835493135862738,0.9831645068641373,,,9992,3036331,4882130,9.263969953349585,106212114,2.250917,2,3,100,1,,,,,15.759137,149195496.976929,14.485687,8661,6969111.182609,1,48656926,43150
results/stats_basicmath_bimode_ROB256_numIQEntries128.txt,basicmath,bimode,256,128,0.015623,54044264,1.151932,19468910,327784,0.01683627896990638,0.9831637210300936,,,10970,3050431,4934617,9.306223000512533,106226214,2.251166,2,3,115,1,,,,,15.722836,149188682.635849,14.442734,9327,6976749.5,1,48677713,1152
results/stats_basicmath_gshare_ROB128_numIQEntries64.txt,basicmath,gshare,128,64,0.015705,54044264,1.145891,19540285,365202,0.018689696695826083,0.9813103033041739,,,14084,3266362,5193122,8.943987163268547,106442145,2.243014,2,3,100,1,,,,,15.673805,150012973.180675,14.435881,8994,6959992.353995,1,49603010,23446
results/stats_basicmath_gshare_ROB128_numIQEntries128.txt,basicmath,gshare,128,128,0.015705,54044264,1.1459,19540221,365202,0.018689757910107567,0.9813102420898925,,,14312,3276708,5220889,8.9723166904891,106452491,2.243093,2,3,100,1,,,,,15.714741,150014027.278372,14.41636,8994,6959811.353995,1,49624650,0
results/stats_basicmath_gshare_ROB256_numIQEntries64.txt,basicmath,gshare,256,64,0.015702,54044264,1.14615,19541778,365229,0.01868965045043496,0.9813103495495651,,,14272,3271336,5192797,8.956944820920572,106447119,2.243365,2,3,100,1,,,,,15.642956,150009136.390606,14.417764,8995,6960164.349782,1,49607556,43128
results/stats_basicmath_gshare_ROB256_numIQEntries128.txt,basicmath,gshare,256,128,0.0157,54044264,1.146309,19542536,365251,0.018690051280959647,0.9813099487190403,,,15262,3285558,5245383,8.995342928561454,106461341,2.243882,2,3,115,1,,,,,15.696704,149990553.24343997,14.4441,9327,6968087.508704,1,49631397,1150
results/stats_basicmath_local_ROB128_numIQEntries64.txt,basicmath,local,128,64,0.016226,54044264,1.1091,20294909,713368,0.03515009601669069,0.9648499039833093,,,44089,5606522,8961598,7.859228336566821,108782305,2.206917,2,3,222,1,,,,,15.759698,155309610.078596,14.456436,9327,6968059.561644,1,59065298,37624
results/stats_basicmath_local_ROB128_numIQEntries128.txt,basicmath,local,128,128,0.016228,54044264,1.108995,20298965,713410,0.035145141636531714,0.9648548583634683,,,44153,5663391,9148358,7.938479976451129,108839174,2.207016,2,3,222,1,,,,,15.752097,155319710.177674,14.440561,8994,6968040.398728,1,59253158,0
